AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.17286,0.00429,0.00429
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.672503,-0.00121,-0.00121
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.204953,-0.00214,-0.00214
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.293795,-0.00172,-0.00172
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.675508,-0.00242,-0.00242
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.186934,-0.00291,-0.00291
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,0.009281,-0.00292,-0.00292
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.755653,0.00822,0.00822
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.554165,0.00065,0.00065
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.005012,-0.00062,-0.00062
HeuristicBeliefLearningAgent,7,0.0,0,0,100,0,0.675169,3e-05,3e-05
HeuristicBeliefLearningAgent,8,0.0,0,0,100,0,0.007064,-0.00071,-0.00071
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.406975,-0.00851,-0.00851
HeuristicBeliefLearningAgent,18,0.0,0,0,100,0,0.289872,-0.00352,-0.00352
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.580166,0.00128,0.00128
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.230036,-0.00123,-0.00123
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.00889,-0.00473,-0.00473
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.00744,0.00281,0.00281
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,1.006079,0.00381,0.00381
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,1.148313,0.00095,0.00095
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.454945,-0.00598,-0.00598
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,0.006946,0.00547,0.00547
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.507052,-0.00083,-0.00083
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.005698,-0.00037,-0.00037
HeuristicBeliefLearningAgent,5,0.0,0,0,100,0,0.008807,0.00198,0.00198
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.189709,0.00279,0.00279
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,1.007849,0.00049,0.00049
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.226898,-0.00453,-0.00453
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.256648,-0.00019,-0.00019
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.204995,-0.0066,-0.0066
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,1.004938,-0.00688,-0.00688
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.008516,-0.00341,-0.00341
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.469489,-0.00239,-0.00239
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.008257,0.00277,0.00277
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.256308,0.00201,0.00201
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.230941,-0.00872,-0.00872
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,0.676431,-0.00383,-0.00383
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.160431,-0.00778,-0.00778
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.503652,0.00495,0.00495
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.407421,-0.00028,-0.00028
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.003816,-0.00255,-0.00255
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.673332,-0.00113,-0.00113
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.004839,5e-05,5e-05
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.005956,-0.00087,-0.00087
