AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.003461,0.00032,0.00032
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.207409,0.00043,0.00043
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.18944,-9e-05,-9e-05
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.577426,0.00328,0.00328
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.00699,-0.00204,-0.00204
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.576772,0.00167,0.00167
HeuristicBeliefLearningAgent,8,0.0,0,0,100,0,0.405561,0.00174,0.00174
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.405655,0.00729,0.00729
HeuristicBeliefLearningAgent,18,0.0,0,0,100,0,0.449473,-0.0004,-0.0004
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.005397,-0.00529,-0.00529
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.007898,-0.00472,-0.00472
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.408356,-0.00076,-0.00076
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.341437,-0.00434,-0.00434
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.404722,-0.00221,-0.00221
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.409388,0.00222,0.00222
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.230795,7e-05,7e-05
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.405977,-0.00101,-0.00101
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.25556,-0.00011,-0.00011
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.863677,-0.00078,-0.00078
HeuristicBeliefLearningAgent,18,0.0,0,0,100,0,0.313645,0.0041,0.0041
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.578666,-0.0035,-0.0035
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.291715,0.00052,0.00052
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.55361,0.00026,0.00026
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.25533,-0.00177,-0.00177
HeuristicBeliefLearningAgent,6,0.0,0,0,100,0,0.505816,0.00048,0.00048
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.674393,0.00161,0.00161
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.553087,-0.00428,-0.00428
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.67207,-0.00096,-0.00096
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.257392,-0.00534,-0.00534
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.50631,-0.0046,-0.0046
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.256876,-0.00376,-0.00376
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.406454,-0.00064,-0.00064
HeuristicBeliefLearningAgent,23,0.0,0,0,100,0,0.507809,-6e-05,-6e-05
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.469447,-0.00178,-0.00178
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.003484,-0.00118,-0.00118
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.606075,-0.00095,-0.00095
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.25721,-0.00472,-0.00472
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.576546,-0.00386,-0.00386
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.669531,0.00256,0.00256
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.506774,0.00187,0.00187
HeuristicBeliefLearningAgent,18,0.0,0,0,100,0,0.258062,0.00157,0.00157
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,1.005716,-0.00041,-0.00041
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.007509,0.0028,0.0028
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.372534,-0.00016,-0.00016
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.007447,-0.00181,-0.00181
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.29237,0.00073,0.00073
HeuristicBeliefLearningAgent,8,0.0,0,0,100,0,0.508858,-0.00272,-0.00272
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.451126,-0.0023,-0.0023
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.866654,-0.00294,-0.00294
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.25572,-0.00131,-0.00131
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.23103,0.00279,0.00279
HeuristicBeliefLearningAgent,6,0.0,0,0,100,0,0.407982,0.00163,0.00163
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.671402,0.0027,0.0027
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.862165,-8e-05,-8e-05
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.38107,-0.00095,-0.00095
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.33582,-0.00126,-0.00126
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.004817,0.00209,0.00209
HeuristicBeliefLearningAgent,8,0.0,0,0,100,0,0.408489,0.00089,0.00089
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.507244,-0.00015,-0.00015
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.806919,-0.00115,-0.00115
HeuristicBeliefLearningAgent,16,0.0,0,0,100,0,0.00702,-0.0003,-0.0003
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.894434,0.00238,0.00238
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.338244,-0.00146,-0.00146
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.008689,-0.00237,-0.00237
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,0.506933,-0.00049,-0.00049
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.206494,-0.0018,-0.0018
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.006847,-0.00342,-0.00342
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.257873,-0.00028,-0.00028
HeuristicBeliefLearningAgent,18,0.0,0,0,100,0,0.003772,-0.00359,-0.00359
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,1.007809,5e-05,5e-05
RetailExecutionAgent,33,0.6363636363636364,19,10,96,3,2.000783,3.18384,3.1937
RetailExecutionAgent,20,0.0,0,0,100,0,2.00231,-3.26498,-3.26498
RetailExecutionAgent,30,0.7333333333333333,0,10,93,6,2.005916,7.32664,7.32664
RetailExecutionAgent,24,0.08333333333333333,0,1,95,4,2.004792,1.27299,1.27299
RetailExecutionAgent,26,0.46153846153846156,8,10,96,3,2.001257,-0.35457,-0.35139
RetailExecutionAgent,25,0.4,8,9,96,4,2.004439,8.51504,8.51856
RetailExecutionAgent,25,0.44,-9,10,96,4,2.006157,-6.15421,-6.15768
RetailExecutionAgent,12,0.8333333333333334,10,10,100,0,2.008271,-4.2328,-4.22894
RetailExecutionAgent,7,0.0,0,0,100,0,2.012192,-6.51243,-6.51243
RetailExecutionAgent,23,0.4782608695652174,9,10,95,4,2.012119,-3.18297,-3.1792
RetailExecutionAgent,13,0.15384615384615385,0,1,92,7,2.0122,-5.28368,-5.28368
RetailExecutionAgent,28,0.0,0,0,100,0,2.009535,1.76986,1.76986
RetailExecutionAgent,27,0.7037037037037037,1,10,96,3,2.011274,4.70195,4.70229
RetailExecutionAgent,23,0.8695652173913043,-20,20,95,4,2.005573,-0.57258,-0.58122
RetailExecutionAgent,35,0.3142857142857143,11,10,100,0,2.007888,6.33912,6.34372
RetailExecutionAgent,30,0.8,18,10,93,6,2.010367,-0.18019,-0.17265
RetailExecutionAgent,28,0.39285714285714285,9,10,96,3,2.003668,-1.34549,-1.34185
RetailExecutionAgent,25,0.04,-1,1,96,4,2.001899,-1.24674,-1.2472
RetailExecutionAgent,14,0.0,0,0,100,0,2.006365,0.58284,0.58284
RetailExecutionAgent,21,0.2857142857142857,-6,5,90,9,2.002629,-1.91094,-1.91358
RetailExecutionAgent,20,0.6,10,10,95,5,2.00611,-0.73311,-0.72909
RetailExecutionAgent,38,0.3684210526315789,-14,10,92,7,2.002406,2.58924,2.58273
RetailExecutionAgent,9,0.0,0,0,100,0,2.005837,-5.79478,-5.79478
RetailExecutionAgent,12,3.1666666666666665,-38,38,91,8,2.010334,-6.2979,-6.31486
RetailExecutionAgent,12,0.08333333333333333,-1,1,91,8,2.00237,-4.21883,-4.21921
RetailExecutionAgent,31,0.6774193548387096,19,20,96,3,2.004793,0.58302,0.59048
RetailExecutionAgent,19,0.6842105263157895,7,10,84,15,2.010269,-5.26246,-5.25973
RetailExecutionAgent,20,0.55,11,10,100,0,2.006426,-4.07432,-4.06885
RetailExecutionAgent,5,0.0,0,0,100,0,2.002674,-6.58844,-6.58844
RetailExecutionAgent,24,0.8333333333333334,20,10,100,0,2.000325,5.15922,5.16869
